student_id,name,gender,date_of_birth,school_name,board,year_of_passing,math_score,science_score,english_score,social_score,second_language_score,overall_percentage,was_consistent_performer,top_subjects,weak_subjects,remedial_classes_taken,average_study_hours_per_day,study_method,preferred_learning_style,attendance_percentage,participated_in_olympiads,extracurricular_focus,leadership_roles,confidence_level_in_subjects,motivation_level,parental_education_level,internet_access_at_home
1,Riya Srinivasan,Female,2008-10-06,"Lewis, Young and Kennedy School",State,2023,98,79,80,40,89,77.2,Yes,"Mathematics, Second Language","Social Science, Science",No,4.6,Group,Reading,76,Yes,Sports,Yes,1,3,Graduate,Yes
2,Myra Boase,Female,2008-10-24,Cook-White School,State,2021,52,67,57,92,98,73.2,Yes,"Second Language, Social Science","Mathematics, English",No,2.8,Group,Auditory,87,Yes,None,Yes,2,1,None,No
3,Aaryahi Dalal,Male,2009-07-16,Willis LLC School,State,2022,91,50,89,83,61,74.8,No,"Mathematics, English","Science, Second Language",No,1.5,Solo,Reading,89,No,Sports,Yes,1,5,Postgraduate,Yes
4,Kashvi Handa,Male,2007-04-28,Willis LLC School,ICSE,2021,98,62,58,73,45,67.2,No,"Mathematics, Social Science","Second Language, English",No,1.9,Solo,Practical,80,Yes,Debate,Yes,4,4,Graduate,Yes
5,Yashvi Garg,Male,2009-06-17,"Conner, Rivers and Munoz School",State,2023,99,53,94,93,88,85.4,Yes,"Mathematics, English","Science, Second Language",Yes,4.6,Group,Practical,74,No,Sports,No,2,5,None,Yes
6,Shalv Johal,Female,2007-08-25,Espinoza Inc School,CBSE,2022,89,59,84,93,58,76.6,No,"Social Science, Mathematics","Second Language, Science",No,4.3,Solo,Reading,98,Yes,Sports,No,1,4,High School,Yes
7,Vritika De,Male,2008-05-22,Webster-Thompson School,ICSE,2022,54,87,96,78,86,80.2,Yes,"English, Science","Mathematics, Social Science",No,1.3,Group,Reading,88,No,Debate,Yes,5,1,Graduate,Yes
8,Lagan Chokshi,Male,2009-02-09,Faulkner Group School,State,2022,97,90,98,88,80,90.6,Yes,"English, Mathematics","Second Language, Social Science",Yes,3.5,Solo,Auditory,99,No,Arts,No,3,5,Graduate,Yes
9,Manjari Tank,Female,2009-03-29,Rodriguez-Edwards School,ICSE,2021,78,46,96,100,49,73.8,Yes,"Social Science, English","Science, Second Language",Yes,3.6,Group,Auditory,85,Yes,Sports,Yes,5,5,Graduate,Yes
10,Adira Suresh,Male,2008-08-21,Wise-Woods School,CBSE,2023,70,68,97,89,67,78.2,Yes,"English, Social Science","Second Language, Science",Yes,1.5,Group,Practical,92,No,None,Yes,1,1,Graduate,No
11,Nishith Saran,Male,2008-06-12,Moore PLC School,State,2023,66,76,70,74,91,75.4,No,"Second Language, Science","Mathematics, English",Yes,2.9,Coaching,Visual,78,No,Arts,Yes,5,4,Postgraduate,No
