student_id,name,subject,internal_marks,external_marks,total_score,grade,attendance_percentage,passed,subject_interest_level,needs_support_in_subject,peer_help_provided,semester_gpa
1,Riya Srinivasan,Object Oriented Programming,11,45,56,C,96,Yes,2,No,Yes,8.26
1,Riya Srinivasan,Discrete Mathematics,12,42,54,D,96,Yes,1,No,Yes,8.26
1,Riya Srinivasan,Computer Organization,13,39,52,D,67,Yes,4,No,Yes,8.26
1,Riya Srinivasan,Database Management Systems,21,56,77,B,63,Yes,4,No,Yes,8.26
1,Riya Srinivasan,Data Communication,14,42,56,C,91,Yes,2,No,No,8.26
2,Myra Boase,Object Oriented Programming,15,61,76,B,89,Yes,2,No,Yes,9.68
2,Myra Boase,Discrete Mathematics,19,44,63,C,68,Yes,3,Yes,No,9.68
2,Myra Boase,Computer Organization,30,54,84,B,88,Yes,5,Yes,Yes,9.68
2,Myra Boase,Database Management Systems,14,39,53,D,86,Yes,1,No,No,9.68
2,Myra Boase,Data Communication,14,32,46,D,63,Yes,2,No,No,9.68
3,Aaryahi Dalal,Object Oriented Programming,16,53,69,C,67,Yes,4,No,No,5.77
3,Aaryahi Dalal,Discrete Mathematics,16,38,54,D,93,Yes,3,No,Yes,5.77
3,Aaryahi Dalal,Computer Organization,19,48,67,C,100,Yes,2,Yes,No,5.77
3,Aaryahi Dalal,Database Management Systems,27,30,57,C,91,Yes,3,No,No,5.77
3,Aaryahi Dalal,Data Communication,17,59,76,B,66,Yes,3,Yes,No,5.77
4,Kashvi Handa,Object Oriented Programming,24,23,47,D,100,Yes,3,Yes,Yes,7.12
4,Kashvi Handa,Discrete Mathematics,19,37,56,C,85,Yes,1,No,Yes,7.12
4,Kashvi Handa,Computer Organization,16,27,43,D,87,Yes,4,No,Yes,7.12
4,Kashvi Handa,Database Management Systems,16,34,50,D,96,Yes,4,Yes,No,7.12
4,Kashvi Handa,Data Communication,21,43,64,C,68,Yes,4,Yes,Yes,7.12
5,Yashvi Garg,Object Oriented Programming,27,23,50,D,95,Yes,3,Yes,Yes,6.86
5,Yashvi Garg,Discrete Mathematics,22,53,75,B,60,Yes,2,Yes,No,6.86
5,Yashvi Garg,Computer Organization,18,27,45,D,98,Yes,2,Yes,Yes,6.86
5,Yashvi Garg,Database Management Systems,21,56,77,B,99,Yes,1,No,No,6.86
5,Yashvi Garg,Data Communication,15,23,38,F,83,No,4,Yes,No,6.86
6,Shalv Johal,Object Oriented Programming,29,20,49,D,86,Yes,2,Yes,Yes,6.91
6,Shalv Johal,Discrete Mathematics,22,55,77,B,80,Yes,5,Yes,No,6.91
6,Shalv Johal,Computer Organization,29,48,77,B,70,Yes,1,No,No,6.91
6,Shalv Johal,Database Management Systems,10,25,35,F,71,No,1,No,No,6.91
6,Shalv Johal,Data Communication,16,58,74,B,87,Yes,5,Yes,Yes,6.91
7,Vritika De,Object Oriented Programming,17,39,56,C,90,Yes,1,Yes,Yes,7.74
7,Vritika De,Discrete Mathematics,24,46,70,B,70,Yes,3,Yes,Yes,7.74
7,Vritika De,Computer Organization,29,61,90,A,69,Yes,5,No,Yes,7.74
7,Vritika De,Database Management Systems,30,35,65,C,88,Yes,3,Yes,No,7.74
7,Vritika De,Data Communication,14,57,71,B,76,Yes,3,Yes,No,7.74
8,Lagan Chokshi,Object Oriented Programming,17,63,80,B,60,Yes,4,Yes,Yes,7.41
8,Lagan Chokshi,Discrete Mathematics,10,46,56,C,82,Yes,5,Yes,Yes,7.41
8,Lagan Chokshi,Computer Organization,10,56,66,C,69,Yes,4,Yes,No,7.41
8,Lagan Chokshi,Database Management Systems,28,43,71,B,75,Yes,4,No,Yes,7.41
8,Lagan Chokshi,Data Communication,29,21,50,D,65,Yes,3,Yes,Yes,7.41
9,Manjari Tank,Object Oriented Programming,27,41,68,C,83,Yes,3,No,No,8.21
9,Manjari Tank,Discrete Mathematics,20,52,72,B,70,Yes,4,No,No,8.21
9,Manjari Tank,Computer Organization,28,52,80,B,81,Yes,4,No,No,8.21
9,Manjari Tank,Database Management Systems,20,32,52,D,78,Yes,5,Yes,No,8.21
9,Manjari Tank,Data Communication,17,63,80,B,69,Yes,2,No,Yes,8.21
10,Adira Suresh,Object Oriented Programming,19,52,71,B,65,Yes,4,Yes,No,8.0
10,Adira Suresh,Discrete Mathematics,25,36,61,C,85,Yes,4,Yes,No,8.0
10,Adira Suresh,Computer Organization,29,70,99,A,80,Yes,2,No,Yes,8.0
10,Adira Suresh,Database Management Systems,11,62,73,B,81,Yes,4,Yes,Yes,8.0
10,Adira Suresh,Data Communication,13,20,33,F,81,No,3,Yes,No,8.0
11,Nishith Saran,Object Oriented Programming,10,58,68,C,96,Yes,2,Yes,Yes,9.94
11,Nishith Saran,Discrete Mathematics,29,66,95,A,69,Yes,4,No,Yes,9.94
11,Nishith Saran,Computer Organization,21,51,72,B,61,Yes,3,Yes,No,9.94
11,Nishith Saran,Database Management Systems,18,44,62,C,72,Yes,4,Yes,No,9.94
11,Nishith Saran,Data Communication,19,27,46,D,69,Yes,5,No,No,9.94
12,Madhup Sharma,Object Oriented Programming,15,60,75,B,94,Yes,2,No,Yes,6.8
12,Madhup Sharma,Discrete Mathematics,20,44,64,C,100,Yes,1,No,No,6.8
12,Madhup Sharma,Computer Organization,17,40,57,C,82,Yes,3,No,No,6.8
12,Madhup Sharma,Database Management Systems,10,62,72,B,76,Yes,1,No,No,6.8
12,Madhup Sharma,Data Communication,16,37,53,D,93,Yes,5,No,Yes,6.8
13,Nayantara Bhagat,Object Oriented Programming,22,41,63,C,63,Yes,4,No,Yes,9.73
13,Nayantara Bhagat,Discrete Mathematics,15,51,66,C,69,Yes,2,No,Yes,9.73
13,Nayantara Bhagat,Computer Organization,30,64,94,A,71,Yes,4,No,Yes,9.73
13,Nayantara Bhagat,Database Management Systems,26,27,53,D,74,Yes,3,No,Yes,9.73
13,Nayantara Bhagat,Data Communication,11,44,55,C,84,Yes,5,Yes,No,9.73
14,Lakshay Sami,Object Oriented Programming,25,21,46,D,69,Yes,3,Yes,No,7.91
14,Lakshay Sami,Discrete Mathematics,30,41,71,B,72,Yes,2,Yes,Yes,7.91
14,Lakshay Sami,Computer Organization,10,23,33,F,73,No,2,Yes,Yes,7.91
14,Lakshay Sami,Database Management Systems,18,54,72,B,65,Yes,4,No,Yes,7.91
